File Path,Duration (seconds)
/mnt/data/user/fan_xiaoran/librilight/small/994/histofengch10_librivox_64kb_mp3/historyofengland02ch10_01_macaulay_64kb.flac,974.184
/mnt/data/user/fan_xiaoran/librilight/small/816/badge_courage_librivox_64kb_mp3/redbadgeofcourage_18_crane_64kb.flac,553.169
/mnt/data/user/fan_xiaoran/librilight/small/816/badge_courage_librivox_64kb_mp3/redbadgeofcourage_17_crane_64kb.flac,563.121
/mnt/data/user/fan_xiaoran/librilight/small/4738/fidele_1007_librivox_64kb_mp3/fidele_shakespeare_llw_64kb.flac,84.468
/mnt/data/user/fan_xiaoran/librilight/small/3916/short_poetry_079_0906_librivox_64kb_mp3/exposure_owen_dh_64kb.flac,220.073
/mnt/data/user/fan_xiaoran/librilight/small/3703/chopin_man_music_1207_librivox_64kb_mp3/chopin_06_huneker_64kb.flac,2789.277
/mnt/data/user/fan_xiaoran/librilight/small/3807/female_quixote_vol2_1005_librivox_64kb_mp3/femalequixote2_25_lennox_64kb.flac,791.469
/mnt/data/user/fan_xiaoran/librilight/small/3807/female_quixote_vol2_1005_librivox_64kb_mp3/femalequixote2_03_lennox_64kb.flac,356.407
/mnt/data/user/fan_xiaoran/librilight/small/3807/female_quixote_vol2_1005_librivox_64kb_mp3/femalequixote2_10_lennox_64kb.flac,632.26
/mnt/data/user/fan_xiaoran/librilight/small/3807/female_quixote_vol2_1005_librivox_64kb_mp3/femalequixote2_12_lennox_64kb.flac,394.129
/mnt/data/user/fan_xiaoran/librilight/small/3807/female_quixote_vol2_1005_librivox_64kb_mp3/femalequixote2_09_lennox_64kb.flac,718.466
/mnt/data/user/fan_xiaoran/librilight/small/3807/female_quixote_vol2_1005_librivox_64kb_mp3/femalequixote2_02_lennox_64kb.flac,675.914
/mnt/data/user/fan_xiaoran/librilight/small/474/les_mis_vol01_0810_librivox_64kb_mp3/lesmiserables_vol1_14_hugo_64kb.flac,429.009
/mnt/data/user/fan_xiaoran/librilight/small/474/shortpoetry_028_librivox_64kb_mp3/wayfarer_crane_zfbg_64kb.flac,47.177
/mnt/data/user/fan_xiaoran/librilight/small/474/stops_punctuate_0711_librivox_64kb_mp3/stops_04_allardyce_64kb.flac,245.263
/mnt/data/user/fan_xiaoran/librilight/small/2196/ode_bards_of_passion_0905_librivox_64kb_mp3/ode_keats_af_64kb.flac,132.951
/mnt/data/user/fan_xiaoran/librilight/small/2196/evening_star_0901_librivox_64kb_mp3/eveningstar_poe_af_64kb.flac,72.594
/mnt/data/user/fan_xiaoran/librilight/small/2196/secret_dreams_0811_af_librivox_64kb_mp3/secretofdreams_1_yackiraizizun_64kb.flac,583.889
